"""동별""","""연령별""","""항목""","""2023. 1/4""",ADSTRD_CD_x,ADSTRD_NM,ADSTRD_CD_y
종로1·2·3·4가동,25~29세,외국인,154,1101061,종로1·2·3·4가동,11110615
종로1·2·3·4가동,30~34세,계,715,1101061,종로1·2·3·4가동,11110615
종로1·2·3·4가동,30~34세,한국인,561,1101061,종로1·2·3·4가동,11110615
종로1·2·3·4가동,30~34세,외국인,154,1101061,종로1·2·3·4가동,11110615
종로1·2·3·4가동,35~39세,계,598,1101061,종로1·2·3·4가동,11110615
종로1·2·3·4가동,35~39세,한국인,403,1101061,종로1·2·3·4가동,11110615
종로1·2·3·4가동,35~39세,외국인,195,1101061,종로1·2·3·4가동,11110615
종로1·2·3·4가동,40~44세,계,661,1101061,종로1·2·3·4가동,11110615
종로1·2·3·4가동,40~44세,한국인,426,1101061,종로1·2·3·4가동,11110615
종로1·2·3·4가동,40~44세,외국인,235,1101061,종로1·2·3·4가동,11110615
종로1·2·3·4가동,45~49세,계,626,1101061,종로1·2·3·4가동,11110615
